********************************************************************************
This is automation Script This file is created at:Fri Jun 20 13:06:53 2025
********************************************************************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 20900, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'explorer.exe'}
{'pid': 20908, 'username': None, 'name': 'sqlservr.exe'}
{'pid': 21492, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'ms-teams.exe'}
{'pid': 21496, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'svchost.exe'}
{'pid': 21752, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 21968, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 22044, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'dllhost.exe'}
{'pid': 22076, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 22156, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'AsusOptimizationStartupTask.exe'}
{'pid': 22412, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 22488, 'username': None, 'name': 'svchost.exe'}
{'pid': 22760, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 22952, 'username': None, 'name': 'WmiPrvSE.exe'}
{'pid': 23156, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'python.exe'}
{'pid': 23172, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 23280, 'username': None, 'name': 'svchost.exe'}
{'pid': 23524, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'IGCCTray.exe'}
********************************************************************************
